k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
161,0.63,0.8464788732394366,0.7382394366197182,0.4632352941176471,0.3832642053915956,0.40058549195126,63,37,601,109
166,0.64,0.8549295774647887,0.7474647887323944,0.4794007490636704,0.4024471542235582,0.388130683526238,64,36,607,103
171,0.64,0.8577464788732394,0.7488732394366198,0.4830188679245283,0.4065514753084224,0.3870866366499387,64,36,609,101
176,0.64,0.8577464788732394,0.7488732394366198,0.4830188679245283,0.4065514753084224,0.3870866366499387,64,36,609,101
181,0.67,0.856338028169014,0.7631690140845071,0.4981412639405204,0.4261098332326208,0.3599149373815526,67,33,608,102
186,0.66,0.8605633802816901,0.7602816901408451,0.4981132075471698,0.4251879605942075,0.3674813885334447,66,34,611,99
191,0.66,0.8633802816901408,0.7616901408450705,0.5019011406844106,0.4294381155789394,0.3664218162597108,66,34,613,97
196,0.68,0.8633802816901408,0.7716901408450705,0.5132075471698113,0.4438244458799926,0.3479438854629655,68,32,613,97
201,0.66,0.8661971830985915,0.7630985915492958,0.5057471264367817,0.4337529153336997,0.3653808886774893,66,34,615,95
206,0.66,0.8676056338028169,0.7638028169014084,0.5076923076923077,0.435935191044379,0.3648674666241892,66,34,616,94
211,0.68,0.8802816901408451,0.7801408450704226,0.5375494071146245,0.4708767033593236,0.341661343607281,68,32,625,85
216,0.66,0.8788732394366198,0.7694366197183099,0.5238095238095238,0.4540263417703947,0.3609317000826866,66,34,624,86
221,0.68,0.8830985915492958,0.7815492957746479,0.5418326693227091,0.4756444509632518,0.3406845157880797,68,32,627,83
226,0.7,0.8845070422535212,0.7922535211267605,0.5555555555555556,0.4924749917269049,0.3214632534039154,70,30,628,82
231,0.69,0.8816901408450705,0.7858450704225353,0.5454545454545454,0.4804646905317986,0.3318090155093127,69,31,626,84
236,0.69,0.8830985915492958,0.7865492957746478,0.5476190476190477,0.4828628292377773,0.3313094313444131,69,31,627,83
241,0.69,0.8873239436619719,0.788661971830986,0.5542168674698795,0.4901792014886763,0.3298422254228383,69,31,630,80
246,0.7,0.8887323943661972,0.7943661971830986,0.5622489959839357,0.4998655921499553,0.3199694986455419,70,30,631,79
251,0.67,0.8859154929577465,0.7779577464788733,0.5403225806451613,0.4732363538850153,0.3491636790204186,67,33,629,81
256,0.69,0.8901408450704226,0.7900704225352113,0.5587044534412956,0.4951618604456969,0.3288906108751676,69,31,632,78
